Model Type,Neighborhood Size,Time Step,Mean Entropy,Std Entropy,N Samples
Stochastic Mixture NCA,3,63,1.1664903163909912,0.21263624727725983,20
Stochastic Mixture NCA,3,64,1.1661843061447144,0.2125377207994461,20
Stochastic Mixture NCA,3,65,1.1660821437835693,0.21231436729431152,20
Stochastic Mixture NCA,3,66,1.1664901971817017,0.21251679956912994,20
Stochastic Mixture NCA,3,67,1.1661841869354248,0.21259745955467224,20
Stochastic Mixture NCA,3,68,1.1662861108779907,0.21202492713928223,20
Stochastic Mixture NCA,3,69,1.1657761335372925,0.21270398795604706,20
Stochastic Mixture NCA,3,70,1.1651638746261597,0.21327973902225494,20
Stochastic Mixture NCA,3,71,1.164858102798462,0.21336503326892853,20
Stochastic Mixture NCA,3,72,1.1643478870391846,0.2135096937417984,20
Stochastic Mixture NCA,3,73,1.1639398336410522,0.213642418384552,20
Stochastic Mixture NCA,3,74,1.1638379096984863,0.21284885704517365,20
Stochastic Mixture NCA,3,75,1.1634297370910645,0.21344473958015442,20
Stochastic Mixture NCA,3,76,1.163327693939209,0.21333029866218567,20
Stochastic Mixture NCA,3,77,1.162205696105957,0.2136053740978241,20
Stochastic Mixture NCA,3,78,1.1618995666503906,0.21375738084316254,20
Stochastic Mixture NCA,3,79,1.1616957187652588,0.21352335810661316,20
Stochastic Mixture NCA,3,80,1.1613895893096924,0.21306802332401276,20
Stochastic Mixture NCA,3,81,1.1611855030059814,0.21358540654182434,20
Stochastic Mixture NCA,3,82,1.1605733633041382,0.213702991604805,20
Stochastic Mixture NCA,3,83,1.1607774496078491,0.21362830698490143,20
Stochastic Mixture NCA,3,84,1.160879373550415,0.21353432536125183,20
Stochastic Mixture NCA,3,85,1.1605734825134277,0.2138373702764511,20
Stochastic Mixture NCA,3,86,1.1604714393615723,0.21368184685707092,20
Stochastic Mixture NCA,3,87,1.1601654291152954,0.21382743120193481,20
Stochastic Mixture NCA,3,88,1.1603693962097168,0.21351447701454163,20
Stochastic Mixture NCA,3,89,1.1606755256652832,0.21372024714946747,20
Stochastic Mixture NCA,3,90,1.1604714393615723,0.21381331980228424,20
Stochastic Mixture NCA,3,91,1.1605733633041382,0.21372833847999573,20
Stochastic Mixture NCA,3,92,1.1604714393615723,0.21369163691997528,20
Stochastic Mixture NCA,3,93,1.1604714393615723,0.21356205642223358,20
Stochastic Mixture NCA,3,94,1.1603692770004272,0.2135164886713028,20
Stochastic Mixture NCA,3,95,1.1604714393615723,0.2138240784406662,20
Stochastic Mixture NCA,3,96,1.1603692770004272,0.2136363536119461,20
Stochastic Mixture NCA,3,97,1.1603693962097168,0.21390022337436676,20
Stochastic Mixture NCA,3,98,1.1604712009429932,0.21397295594215393,20
Stochastic Mixture NCA,3,99,1.1599613428115845,0.21442636847496033,20
Stochastic Mixture NCA,3,100,1.1599613428115845,0.2142428457736969,20
