Model Type,Step Length,Neighborhood Size,Metric,n,median,q1,q3,p5,p95,iqr,tukey_outlier_rate
Mixture NCA,50,7,Chi-Square,1500,0.02950805146247145,0.019181189592927674,0.043397382833063526,0.00733737985137847,0.06871121898293492,0.024216193240135853,0.028
Mixture NCA,50,7,Categorical MMD,1500,0.559999942779541,0.4399999380111694,0.695555567741394,0.3177777528762817,0.8823332905769347,0.25555562973022466,0.0033333333333333335
Mixture NCA,50,7,Tumor Size Diff,1500,0.3243744075298309,0.1654971539974212,0.5271084308624268,0.0297894868999719,0.864060616493225,0.36161127686500555,0.014
Mixture NCA,50,7,Border Size Diff,1500,0.3003203570842743,0.1801922023296356,0.4404698610305786,0.0500533916056156,0.6306727528572083,0.260277658700943,0.006
Mixture NCA,50,7,Spatial Variance Diff,1500,0.4028961956501007,0.1985773406922817,0.6412445604801178,0.040437469817697975,0.9801302284002303,0.4426672197878361,0.007333333333333333
Mixture NCA,100,1,KL Divergence,1500,10.253477096557615,9.434106826782228,14.476742029190063,8.961896896362305,15.121195793151855,5.042635202407835,0.0
Mixture NCA,100,1,Chi-Square,1500,1.4209476709365847,1.328048437833786,1.5392946898937225,1.1792426586151123,1.648045140504837,0.21124625205993652,0.0033333333333333335
Mixture NCA,100,1,Categorical MMD,1500,0.6244443655014038,0.4955555200576782,0.762222170829773,0.3355555534362793,0.9689999878406524,0.2666666507720947,0.0033333333333333335
Mixture NCA,100,1,Tumor Size Diff,1500,0.9267840385437012,0.7348073720932007,1.1320005655288696,0.49963590055704116,1.4401561737060544,0.39719319343566895,0.0033333333333333335
Mixture NCA,100,1,Border Size Diff,1500,0.7608115673065186,0.6406834125518799,0.8909503817558289,0.500533938407898,1.071142554283142,0.250266969203949,0.006
Mixture NCA,100,1,Spatial Variance Diff,1500,0.8252004384994507,0.5811077058315277,1.0716633200645447,0.29480690956115724,1.4387695789337158,0.49055561423301697,0.007333333333333333
Mixture NCA,100,2,KL Divergence,1500,0.061756465584039646,0.042734082788228975,0.08423070050775998,0.022821192070841698,0.13685410916805257,0.041496617719531004,0.03666666666666667
Mixture NCA,100,2,Chi-Square,1500,0.05655620805919165,0.03995574638247482,0.07519895024597638,0.02177818221971387,0.11005247272551055,0.035243203863501556,0.02266666666666667
Mixture NCA,100,2,Categorical MMD,1500,0.6866666078567505,0.5711110830307007,0.81333327293396,0.4377777576446533,0.9912221550941466,0.24222218990325928,0.0013333333333333333
Mixture NCA,100,2,Tumor Size Diff,1500,0.4501522481441498,0.2614854872226715,0.6652985215187073,0.07265325151383875,0.9731232523918152,0.40381303429603577,0.008
Mixture NCA,100,2,Border Size Diff,1500,0.6707154512405396,0.3904164433479309,0.910971701145172,0.0700747519731521,1.2713561058044434,0.5205552577972411,0.0013333333333333333
Mixture NCA,100,2,Spatial Variance Diff,1500,0.2332568243145942,0.1093051023781299,0.37983496487140656,0.02165526552125805,0.6950314879417419,0.27052986249327665,0.029333333333333333
Mixture NCA,100,3,KL Divergence,1500,4.676074981689453,2.377016305923462,16.844600677490234,0.24595728069543832,16.902435302734375,14.467584371566772,0.0
Mixture NCA,100,3,Chi-Square,1500,0.42927418649196625,0.32264192402362823,0.9999999403953552,0.16865872219204903,1.0,0.677358016371727,0.0
Mixture NCA,100,3,Categorical MMD,1500,0.7244443893432617,0.5838888585567474,0.856111079454422,0.397777795791626,1.0688889026641846,0.27222222089767456,0.006
Mixture NCA,100,3,Tumor Size Diff,1500,0.8473454117774963,0.6321991086006165,1.0790414810180664,0.3376141786575317,1.4035812973976134,0.44684237241744995,0.002
Mixture NCA,100,3,Border Size Diff,1500,0.7107581496238708,0.4304591715335846,0.9209824204444884,0.1201281398534774,1.1817605257034298,0.4905232489109038,0.0
Mixture NCA,100,3,Spatial Variance Diff,1500,0.7431256771087646,0.4662832096219063,1.0534313619136808,0.10345987603068348,1.5833481550216677,0.5871481522917745,0.020666666666666667
Mixture NCA,100,4,KL Divergence,1500,0.03008842095732685,0.01639957074075935,0.05618018470704555,0.00690951719880103,0.12341205626726141,0.039780613966286196,0.056666666666666664
Mixture NCA,100,4,Chi-Square,1500,0.02827767189592115,0.01593760540708895,0.048222030512988526,0.006636650254949875,0.08938932195305822,0.03228442510589957,0.03333333333333333
Mixture NCA,100,4,Categorical MMD,1500,0.5822222232818604,0.457777738571167,0.7177777290344238,0.2976666569709777,0.9378888666629789,0.25999999046325684,0.0006666666666666666
Mixture NCA,100,4,Tumor Size Diff,1500,0.3210644721984863,0.1588772684335708,0.5428306460380554,0.0364093743264675,0.8870647549629211,0.3839533776044846,0.011333333333333334
Mixture NCA,100,4,Border Size Diff,1500,0.2202349305152893,0.1101174652576446,0.3603844046592712,0.0200213566422462,0.5706086754798889,0.2502669394016266,0.008
Mixture NCA,100,4,Spatial Variance Diff,1500,0.3691035956144333,0.18284628167748446,0.6295753866434097,0.04232194814831016,0.9846004664897919,0.44672910496592527,0.01
Mixture NCA,100,5,KL Divergence,1500,0.02028959803283205,0.0127494297921657,0.0320992209017276,0.005964804999530225,0.055544499680399845,0.0193497911095619,0.03866666666666667
Mixture NCA,100,5,Chi-Square,1500,0.0198655519634485,0.012589672114700023,0.030800144188106,0.00594278103671964,0.05340488199144597,0.018210472073405978,0.034666666666666665
Mixture NCA,100,5,Categorical MMD,1500,0.5977777242660522,0.4755555391311645,0.7288888692855835,0.3155555725097656,0.9377777576446532,0.253333330154419,0.004
Mixture NCA,100,5,Tumor Size Diff,1500,0.385608360171318,0.1952866315841674,0.615649402141571,0.0297894868999719,0.9335694074630736,0.4203627705574037,0.008666666666666666
Mixture NCA,100,5,Border Size Diff,1500,0.2702883183956146,0.1401495039463043,0.4204484820365906,0.0300320349633693,0.6311732858419414,0.28029897809028625,0.004666666666666667
Mixture NCA,100,5,Spatial Variance Diff,1500,0.4115980416536331,0.19753625988960263,0.6628503054380417,0.0396871913224458,1.0127184808254244,0.465314045548439,0.007333333333333333
Mixture NCA,100,6,KL Divergence,1500,0.26386500895023346,0.18981027603149406,0.3633439838886261,0.10692479498684403,1.8990234971046436,0.17353370785713204,0.07466666666666667
Mixture NCA,100,6,Chi-Square,1500,0.1869217902421951,0.14470579847693438,0.23191602900624272,0.0886249229311943,0.31965762227773664,0.08721023052930835,0.024666666666666667
Mixture NCA,100,6,Categorical MMD,1500,1.0377777814865112,0.9111111164093018,1.1577777862548828,0.6688888072967529,1.3444445133209229,0.24666666984558105,0.03
Mixture NCA,100,6,Tumor Size Diff,1500,0.4534621834754944,0.2283860743045807,0.6851581931114197,0.05610353387892245,1.0593473017215727,0.456772118806839,0.008
Mixture NCA,100,6,Border Size Diff,1500,0.1701815277338028,0.0800854265689849,0.2903096675872803,0.0200213566422462,0.5105445981025696,0.21022424101829537,0.028666666666666667
Mixture NCA,100,6,Spatial Variance Diff,1500,0.36464156210422516,0.17283222824335098,0.5799852758646011,0.03507272955030197,0.951640999317169,0.40715304762125015,0.011333333333333334
Mixture NCA,100,7,KL Divergence,1500,0.03279317542910575,0.020816493779420797,0.04796802811324595,0.009002438141033001,0.07630707211792466,0.027151534333825153,0.029333333333333333
