Model Type,Neighborhood Size,Step Length,n_evaluations,KL Divergence mean_across_eval,KL Divergence std_across_eval,Chi-Square mean_across_eval,Chi-Square std_across_eval,Categorical MMD mean_across_eval,Categorical MMD std_across_eval,Tumor Size Diff mean_across_eval,Tumor Size Diff std_across_eval,Border Size Diff mean_across_eval,Border Size Diff std_across_eval,Spatial Variance Diff mean_across_eval,Spatial Variance Diff std_across_eval
Mixture NCA,7,100,5,0.0363349921368062,0.0008568425602626947,0.03379107381310309,0.000731287388307699,0.5792295959790549,0.0010618579185493414,0.34768524064216755,0.0020138648469141666,0.29116391653567547,0.0020373638516717153,0.41711964051510825,0.003066349452457625
Stochastic Mixture NCA,1,25,5,14.482578557332356,0.0,1.5408233114083607,0.0,0.630437003771464,0.0,0.9390197986364365,0.0,0.7767285341024399,0.0,0.9357574531435965,1.2412670766236366e-16
Stochastic Mixture NCA,1,50,5,14.482578557332356,0.0,1.5408233114083607,0.0,0.630437003771464,0.0,0.9390197986364365,0.0,0.7767285341024399,0.0,0.9357574531435965,1.2412670766236366e-16
Stochastic Mixture NCA,1,100,5,14.482578557332356,0.0,1.5408233114083607,0.0,0.630437003771464,0.0,0.9390197986364365,0.0,0.7767285341024399,0.0,0.9357574531435965,1.2412670766236366e-16
Stochastic Mixture NCA,2,25,5,0.26421962233260265,0.03456600945283377,0.10485572382186845,0.0017121216464286563,0.6170399669011435,0.0010336664444313562,0.6213976681806768,0.0017913660000007702,0.18341564925511675,0.00758439123728704,0.47213913517165695,0.00397200972911018
Stochastic Mixture NCA,2,50,5,0.15091890101755653,0.01245969394759567,0.09599874985466396,0.001628502445625746,0.6543866355419159,0.0010662348264101804,0.5484906578619655,0.0015708391086407623,0.3361919476116697,0.0062637666121798975,0.32591498705345046,0.002321955165982651
Stochastic Mixture NCA,2,100,5,0.14185212025915578,0.0052020279035597024,0.10114883955940598,0.0013940534645372317,0.6743777442773183,0.0014168981603728064,0.5137428753389977,0.0023904854252924605,0.5553523922413588,0.007976933091506093,0.2917339503249386,0.00545703980923877
Stochastic Mixture NCA,3,25,5,0.6675197647713745,0.03648450350946924,0.114905495232592,0.002962694240325001,0.7232029327551524,0.0016334332375806894,0.621607297366485,0.007429103806054925,0.47323146053403614,0.003432249999693839,0.5744445981422129,0.011562690675707013
Stochastic Mixture NCA,3,50,5,2.5923981058080683,0.15152023213754887,0.3027379252907121,0.013711554083855165,0.7535614517529805,0.0031206260101639014,0.7949732866026461,0.006522647425937793,0.5921382977341612,0.006666248031355659,0.6672899237045009,0.02863960652304523
Stochastic Mixture NCA,3,100,5,3.0575427361962695,0.11379703351091924,0.3638230475460489,0.010171125229797434,0.7833821922938029,0.005001889440763516,0.7584778557470999,0.004656696264210237,0.4432594887862603,0.00661271552640758,0.7086118697035126,0.045920720405126576
Stochastic Mixture NCA,4,25,5,0.10208922400077178,0.01134209285772576,0.06376676079452344,0.0005171965853060747,0.5472399644851684,0.0009115099717651158,0.49383025800188385,0.0039405430215246435,0.3161839388087392,0.0042899255326372,0.5521659277315581,0.005268571911936392
Stochastic Mixture NCA,4,50,5,0.09753982658063369,0.009531928319995631,0.061536873121823446,0.0006670918248393233,0.5501244083245596,0.0010881355267615877,0.48747958097777644,0.004733061068697449,0.31133209710319837,0.00446788656365868,0.5448064049805204,0.006116513833114552
Stochastic Mixture NCA,4,100,5,0.09518226624761393,0.009362566149342564,0.060188085910631295,0.0006399490610227794,0.5507214453220367,0.0010214500238588014,0.48523323306627575,0.005505370950505304,0.30938335166623193,0.004689943176819804,0.5422278748591586,0.006859739596212194
Stochastic Mixture NCA,5,25,5,0.030596335304590515,0.0002621619360214489,0.030068912127947694,0.00023806161647245565,0.5826162626743316,0.0018464094251226311,0.40501786724478006,0.0056004831579203,0.28866792146364845,0.006134413141892403,0.45333975694170414,0.0056673981198488614
Stochastic Mixture NCA,5,50,5,0.030560294380721897,0.00029029909225531634,0.030033721176713345,0.0002638875555723231,0.5845451511542002,0.002395981758957511,0.4030517610952569,0.004763929997223335,0.2872664263869325,0.0057852238989394055,0.45072994491160107,0.005254533283569014
Stochastic Mixture NCA,5,100,5,0.030560344252424886,0.00028864106101447013,0.030033632384419084,0.00026244358353998506,0.5845495955944061,0.0023900591633235304,0.40304072797251866,0.004765865204452889,0.2872664263695478,0.005786667252038085,0.45071925080021413,0.005258870528683656
Stochastic Mixture NCA,6,25,5,2.1929228868968784,0.09242853714925034,0.3227962710000574,0.0030635128729197187,0.7219673760732015,0.0027628176702309865,0.6224568508955028,0.011430291258539746,0.29221170097341137,0.013691409736351093,0.37833942536156007,0.014479152777925452
Stochastic Mixture NCA,6,50,5,2.1272942133806643,0.09168890424446023,0.3343786238661656,0.00439457868572297,0.7647910815874737,0.00443363340136322,0.5098680351083166,0.011989119922503151,0.2573078025206923,0.005719341107883584,0.3388757954399625,0.010843880404804312
Stochastic Mixture NCA,6,100,5,2.929033146162827,0.2714005525546208,0.3650089047625661,0.014738672369363423,0.7754058957099914,0.013504928145118927,0.6510017984143148,0.0326389608783524,0.4401428319538633,0.02426982790405599,0.555754673031411,0.022782000382933085
Stochastic Mixture NCA,7,25,5,0.02439590263226996,0.000498397616751478,0.02240781208399368,0.0003779154417623576,0.5907658904393515,0.0011095383482442813,0.29871353104803705,0.002410336293947923,0.2590563346271713,0.0035550512725617705,0.3712986868728415,0.0023998988512674417
Stochastic Mixture NCA,7,50,5,0.023554957807529673,0.00034672915650996953,0.021916046731406777,0.000298209971609958,0.6039481156667075,0.0019567273513436518,0.27567412099055943,0.0011818599329394247,0.23015216926982002,0.004284848736473889,0.34365354406552306,0.0016513720862442614
Stochastic Mixture NCA,7,100,5,0.024331965076581835,0.00035565647296873203,0.02297136098262849,0.00030972720692806814,0.6226666337649027,0.0019246434323317906,0.2601725547411478,0.002582804586743813,0.20786172536512212,0.006063346109243029,0.3207066997289269,0.005283614473648931
