Model Type,Neighborhood Size,Step Length,Evaluation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Stochastic Mixture NCA,4,25,0,0.10932412002856529,0.06432131663391673,0.5483258883158366,0.4928946477430873,0.3170715520903468,0.5502803761822482
Stochastic Mixture NCA,4,25,1,0.11756682659499343,0.06343158354517067,0.5459925595919292,0.48967296849082537,0.31139883530636625,0.546857529252884
Stochastic Mixture NCA,4,25,2,0.09000816717122988,0.06341383468437314,0.54671848376592,0.49200096224279455,0.31450214420755707,0.5503447172914943
Stochastic Mixture NCA,4,25,3,0.09995207727886732,0.06434177610867962,0.5477851506074269,0.500176522671245,0.32294448343416055,0.5608772940158088
Stochastic Mixture NCA,4,25,4,0.09359492893020308,0.06332529300047701,0.5473777401447296,0.4944061888614669,0.31500267900526524,0.5524697219153556
Stochastic Mixture NCA,4,50,0,0.10570668947572505,0.06225185601079521,0.5513258858521779,0.4872015469234126,0.3114322032406926,0.5442645394895226
Stochastic Mixture NCA,4,50,1,0.1088859495396415,0.060720979360242636,0.5485925602912903,0.4812988123173515,0.3048918942486246,0.5364614662062377
Stochastic Mixture NCA,4,50,2,0.08742523610902325,0.06175775998116777,0.5502592253684998,0.48589963470740866,0.31086493148157995,0.5435404141883676
Stochastic Mixture NCA,4,50,3,0.09612152937178806,0.061999940921862874,0.5508962595462799,0.4943730893669029,0.3174719805767139,0.5535278668502966
Stochastic Mixture NCA,4,50,4,0.08955972840699053,0.06095382933504875,0.5495481105645498,0.4886248215738063,0.31199947596838074,0.5462377381681776
Stochastic Mixture NCA,4,100,0,0.10286254149861629,0.06068245734126923,0.55171107172966,0.4855355416471139,0.3095635438213746,0.5424102500247924
Stochastic Mixture NCA,4,100,1,0.1065054314769804,0.05933970944024618,0.5493184856573741,0.47809920157150676,0.303723981877168,0.5331505802553147
Stochastic Mixture NCA,4,100,2,0.08521792942580451,0.06042476259715229,0.5512592220306396,0.48274415547649063,0.3070275048042337,0.5395775819709524
Stochastic Mixture NCA,4,100,3,0.09407513109035785,0.060799513432042006,0.5513407063484191,0.49310427757600944,0.3164375431711475,0.5520081957740088
