Model Type,Step Length,Metric,Best NB (by median),Best threshold quantile,Threshold (from best NB),Neighborhood Size,bad_rate,n
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,2,0.584,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,3,0.9926666666666667,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,4,0.25466666666666665,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,5,0.05,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,6,0.9926666666666667,1500
Mixture NCA,100,KL Divergence,5,0.95,0.055544499680399845,7,0.16866666666666666,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,1,1.0,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,2,0.556,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,3,0.992,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,4,0.20266666666666666,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,5,0.05,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,6,0.992,1500
Mixture NCA,100,Chi-Square,5,0.95,0.05340488199144597,7,0.144,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,1,0.08866666666666667,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,2,0.14733333333333334,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,3,0.21266666666666667,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,4,0.07266666666666667,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,5,0.07866666666666666,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,6,0.7893333333333333,1500
Mixture NCA,100,Categorical MMD,7,0.95,0.8801111042499541,7,0.05,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,1,0.63,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,2,0.104,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,3,0.5113333333333333,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,4,0.06933333333333333,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,5,0.09533333333333334,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,6,0.15266666666666667,1500
Mixture NCA,100,Tumor Size Diff,7,0.95,0.8341056108474731,7,0.04933333333333333,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,1,0.9346666666666666,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,2,0.654,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,3,0.6806666666666666,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,4,0.076,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,5,0.138,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,6,0.048,1500
Mixture NCA,100,Border Size Diff,6,0.95,0.5105445981025696,7,0.10666666666666667,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,1,0.652,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,2,0.05,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,3,0.5413333333333333,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,4,0.20866666666666667,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,5,0.22733333333333333,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,6,0.16,1500
Mixture NCA,100,Spatial Variance Diff,2,0.95,0.6950314879417419,7,0.16933333333333334,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,1,1.0,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,2,0.9506666666666667,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,3,0.504,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,4,0.636,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,5,0.07066666666666667,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,6,0.9986666666666667,1500
Stochastic Mixture NCA,25,KL Divergence,7,0.95,0.05743335094302887,7,0.05,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,1,1.0,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,2,0.9393333333333334,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,3,0.5246666666666666,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,4,0.5993333333333334,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,5,0.10133333333333333,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,6,0.9986666666666667,1500
Stochastic Mixture NCA,25,Chi-Square,7,0.95,0.05119279865175478,7,0.05,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,1,0.1,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,2,0.08266666666666667,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,3,0.21533333333333332,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,4,0.05,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,5,0.062,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,6,0.19666666666666666,1500
Stochastic Mixture NCA,25,Categorical MMD,4,0.95,0.871222150325775,7,0.05533333333333333,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,1,0.6933333333333334,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,2,0.2733333333333333,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,3,0.28933333333333333,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,4,0.16733333333333333,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,5,0.104,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,6,0.31333333333333335,1500
Stochastic Mixture NCA,25,Tumor Size Diff,7,0.95,0.7746921539306639,7,0.05,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,1,0.97,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,2,0.04666666666666667,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,3,0.5133333333333333,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,4,0.224,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,5,0.182,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,6,0.224,1500
Stochastic Mixture NCA,25,Border Size Diff,2,0.95,0.4504805207252502,7,0.14266666666666666,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,1,0.4766666666666667,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,2,0.07133333333333333,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,3,0.15333333333333332,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,4,0.102,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,5,0.07,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,6,0.05,1500
Stochastic Mixture NCA,25,Spatial Variance Diff,6,0.95,0.9371676594018937,7,0.03933333333333333,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,1,1.0,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,2,0.9013333333333333,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,3,0.8373333333333334,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,4,0.6073333333333333,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,5,0.06533333333333333,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,6,0.998,1500
Stochastic Mixture NCA,50,KL Divergence,7,0.95,0.057957802526652724,7,0.05,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,1,1.0,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,2,0.8946666666666667,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,3,0.848,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,4,0.5793333333333334,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,5,0.098,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,6,0.998,1500
Stochastic Mixture NCA,50,Chi-Square,7,0.95,0.0515500426292419,7,0.05,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,1,0.08666666666666667,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,2,0.09666666666666666,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,3,0.27,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,4,0.048,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,5,0.058,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,6,0.248,1500
Stochastic Mixture NCA,50,Categorical MMD,4,0.95,0.8822221755981445,7,0.05466666666666667,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,1,0.7633333333333333,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,2,0.25733333333333336,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,3,0.5593333333333333,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,4,0.194,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,5,0.134,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,6,0.24,1500
Stochastic Mixture NCA,50,Tumor Size Diff,7,0.95,0.7217330694198607,7,0.05,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,1,0.9166666666666666,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,2,0.20333333333333334,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,3,0.5786666666666667,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,4,0.118,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,5,0.09666666666666666,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,6,0.09466666666666666,1500
Stochastic Mixture NCA,50,Border Size Diff,7,0.95,0.5305659770965576,7,0.048666666666666664,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,1,0.6033333333333334,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,2,0.05,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,3,0.30133333333333334,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,4,0.18466666666666667,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,5,0.114,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,6,0.056666666666666664,1500
Stochastic Mixture NCA,50,Spatial Variance Diff,2,0.95,0.830760860443115,7,0.05733333333333333,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,1,1.0,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,2,0.9086666666666666,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,3,0.9946666666666667,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,4,0.598,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,5,0.076,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,6,0.996,1500
Stochastic Mixture NCA,100,KL Divergence,7,0.95,0.056675020232796657,7,0.05,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,1,1.0,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,2,0.9093333333333333,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,3,0.9946666666666667,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,4,0.552,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,5,0.098,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,6,0.996,1500
Stochastic Mixture NCA,100,Chi-Square,7,0.95,0.0516849333420395,7,0.05,1500
