Model Type,Neighborhood Size,Step Length,Evaluation,Simulation,KL Divergence,Chi-Square,Categorical MMD,Tumor Size Diff,Border Size Diff,Spatial Variance Diff
Mixture NCA,2,25,0,55,0.18212127685546875,0.11499245464801788,0.8422222137451172,0.8804448246955872,0.3403630554676056,0.9494866132736206
Mixture NCA,2,25,0,56,0.06969651579856873,0.05538562685251236,0.9866666793823242,1.0856612920761108,0.3804057836532593,0.9733900427818298
Mixture NCA,2,25,0,57,0.10960068553686142,0.08155330270528793,0.948888897895813,1.141930341720581,0.5806193351745605,1.0493271350860596
Mixture NCA,2,25,0,58,0.13800036907196045,0.09906800836324692,0.7022222280502319,0.7215675711631775,0.24025627970695496,0.8032957315444946
Mixture NCA,2,25,0,59,0.25919845700263977,0.12506046891212463,0.7111110687255859,0.7844564914703369,0.04004271328449249,0.38157153129577637
Mixture NCA,2,25,0,60,0.13162827491760254,0.09502531588077545,0.7822221517562866,0.7976962924003601,0.15016017854213715,0.6218153834342957
Mixture NCA,2,25,0,61,0.13770243525505066,0.09553183615207672,0.6466666460037231,0.6255792379379272,0.0,0.5009490251541138
Mixture NCA,2,25,0,62,0.14149059355258942,0.09471914917230606,0.8888888359069824,1.1022109985351562,0.3103310167789459,1.0533310174942017
Mixture NCA,2,25,0,63,0.12524962425231934,0.07848964631557465,0.3311110734939575,0.2846550941467285,0.1301388144493103,0.12097300589084625
Mixture NCA,2,25,0,64,0.12793728709220886,0.08246530592441559,0.6244443655014038,0.5759300589561462,0.06006406992673874,0.40190547704696655
Mixture NCA,2,25,0,65,0.06819146871566772,0.05065842717885971,0.5555554628372192,0.5130411386489868,0.12012813985347748,0.32971206307411194
Mixture NCA,2,25,0,66,0.17788660526275635,0.10316827893257141,0.6244443655014038,0.4468423128128052,0.06006406992673874,0.32740306854248047
Mixture NCA,2,25,0,67,0.09037846326828003,0.07575853168964386,0.8733333349227905,1.0691115856170654,0.3503737449645996,0.79885333776474
Mixture NCA,2,25,0,68,0.23671172559261322,0.1462426334619522,0.7844444513320923,0.8241758346557617,0.07007475197315216,0.5893228054046631
Mixture NCA,2,25,0,69,0.0748618096113205,0.06071065366268158,0.7200000286102295,0.7414272427558899,0.20021356642246246,0.7345278859138489
Mixture NCA,2,25,0,70,0.16230186820030212,0.11552175134420395,0.6888889074325562,0.7877664566040039,0.15016017854213715,0.5990711450576782
Mixture NCA,2,25,0,71,0.08420059829950333,0.0659361183643341,0.40666663646698,0.2879650294780731,0.09009610116481781,0.10552862286567688
Mixture NCA,2,25,0,72,0.18881544470787048,0.11254969239234924,1.0755555629730225,1.3041175603866577,0.1701815277338028,1.1269173622131348
Mixture NCA,2,25,0,73,0.119880810379982,0.08908571302890778,0.9199999570846558,1.0955911874771118,0.18019220232963562,0.8097838163375854
Mixture NCA,2,25,0,74,0.04859963804483414,0.04075522720813751,0.5555554628372192,0.6917780637741089,0.4204484820365906,0.7325751781463623
Mixture NCA,2,25,0,75,0.13699866831302643,0.09329003840684891,0.5111110210418701,0.42036277055740356,0.1301388144493103,0.21506309509277344
Mixture NCA,2,25,0,76,0.1779787540435791,0.10965229570865631,0.5533332824707031,0.38726332783699036,0.1701815277338028,0.18353834748268127
Mixture NCA,2,25,0,77,0.21372011303901672,0.12287453562021255,0.364444375038147,0.31444457173347473,0.010010678321123123,0.03960694372653961
Mixture NCA,2,25,0,78,0.07735800743103027,0.06053784862160683,0.48000001907348633,0.2383158951997757,0.07007475197315216,0.09169135987758636
Mixture NCA,2,25,0,79,0.15356509387493134,0.10081987082958221,0.5133333206176758,0.38726332783699036,0.08008542656898499,0.11750960350036621
Mixture NCA,2,25,0,80,2.352294683456421,0.19924256205558777,0.42666661739349365,0.2647954523563385,0.19020289182662964,0.08551573008298874
Mixture NCA,2,25,0,81,0.290530800819397,0.15148521959781647,0.33333325386047363,0.2416258454322815,0.250266969203949,0.08367568999528885
Mixture NCA,2,25,0,82,0.12233938276767731,0.08750298619270325,0.8266665935516357,0.8870647549629211,0.04004271328449249,0.6231558322906494
Mixture NCA,2,25,0,83,0.07745926827192307,0.06120496988296509,0.611111044883728,0.4964914619922638,0.06006406992673874,0.5172447562217712
Mixture NCA,2,25,0,84,0.13131888210773468,0.08267843723297119,0.41111111640930176,0.21183635294437408,0.4304591715335846,0.01357122790068388
Mixture NCA,2,25,0,85,0.19368073344230652,0.12033183872699738,0.5933332443237305,0.6024096012115479,0.23024560511112213,0.5398608446121216
Mixture NCA,2,25,0,86,0.1697426736354828,0.11302763223648071,0.37111103534698486,0.2515556812286377,0.03003203496336937,0.08155950158834457
Mixture NCA,2,25,0,87,0.08596138656139374,0.062199667096138,0.7955554723739624,0.8903746604919434,0.15016017854213715,0.7486114501953125
Mixture NCA,2,25,0,88,0.16477279365062714,0.11267319321632385,0.4599999189376831,0.33430424332618713,0.07007475197315216,0.019067643210291862
Mixture NCA,2,25,0,89,0.10937389731407166,0.08694463968276978,0.8488888740539551,0.916854202747345,0.20021356642246246,0.7113898992538452
Mixture NCA,2,25,0,90,2.2299067974090576,0.1570386439561844,0.8777776956558228,0.9764332175254822,0.2102242410182953,0.6193094253540039
Mixture NCA,2,25,0,91,0.28457310795783997,0.15285871922969818,0.7844444513320923,0.9400238394737244,0.0,0.7278545498847961
Mixture NCA,2,25,0,92,0.086451955139637,0.06388194859027863,0.4222221374511719,0.2482457309961319,0.23024560511112213,0.03157992660999298
Mixture NCA,2,25,0,93,0.12371179461479187,0.08939751237630844,0.5288888216018677,0.5461406111717224,0.050053391605615616,0.39020073413848877
Mixture NCA,2,25,0,94,0.12933076918125153,0.0907638818025589,0.5311111211776733,0.4667019546031952,0.08008542656898499,0.29415223002433777
Mixture NCA,2,25,0,95,0.08942569047212601,0.06812167167663574,0.4555555582046509,0.2614854872226715,0.2202349305152893,0.026528244838118553
